,driver,track,year,avg_grid_pos_track,track_avg_lap_time,temperature,rain,target_time,years_since_reg_change
30,ALB,Jeddah,2025,15.0,88.584,31.9,False,88.10000000000001,3
31,MAG,Jeddah,2025,12.0,88.584,31.9,False,88.42,3
32,RIC,Jeddah,2025,13.0,88.584,31.9,False,88.575,3
33,HUL,Jeddah,2025,14.0,88.584,31.9,False,88.385,3
34,BOT,Jeddah,2025,10.0,88.584,31.9,False,88.489,3
35,OCO,Jeddah,2025,9.25,88.584,31.9,False,88.515,3
36,GAS,Jeddah,2025,10.5,88.584,31.9,False,88.629,3
37,SAR,Jeddah,2025,19.5,88.584,31.9,False,89.056,3
38,VER,Australia,2025,4.13,77.014,34.5,True,74.96499999999999,3
39,SAI,Australia,2025,8.13,77.014,34.5,True,75.625,3
40,PER,Australia,2025,12.5,77.014,34.5,True,75.634,3
41,NOR,Australia,2025,7.0,77.014,34.5,True,75.725,3
42,LEC,Australia,2025,7.0,77.014,34.5,True,75.574,3
43,PIA,Australia,2025,10.5,77.014,34.5,True,75.622,3
44,RUS,Australia,2025,8.5,77.014,34.5,True,76.274,3
45,TSU,Australia,2025,11.0,77.014,34.5,True,75.928,3
46,STR,Australia,2025,13.83,77.014,34.5,True,76.0,3
47,ALO,Australia,2025,8.42,77.014,34.5,True,76.11000000000001,3
48,HAM,Australia,2025,4.06,77.014,34.5,True,76.19000000000001,3
49,ALB,Australia,2025,13.25,77.014,34.5,True,76.41,3
50,BOT,Australia,2025,12.33,77.014,34.5,True,76.39,3
51,MAG,Australia,2025,12.0,77.014,34.5,True,76.457,3
52,OCO,Australia,2025,12.2,77.014,34.5,True,76.73700000000001,3
53,HUL,Australia,2025,10.91,77.014,34.5,True,77.256,3
54,GAS,Australia,2025,14.8,77.014,34.5,True,77.062,3
55,RIC,Australia,2025,10.0,77.014,34.5,True,77.605,3
56,ZHO,Australia,2025,16.67,77.014,34.5,True,77.328,3
57,VER,Suzuka,2025,4.38,89.285,27.9,False,87.447,3
58,PER,Suzuka,2025,8.5,89.285,27.9,False,87.44300000000001,3
59,NOR,Suzuka,2025,6.0,89.285,27.9,False,87.589,3
60,SAI,Suzuka,2025,9.5,89.285,27.9,False,88.262,3
61,ALO,Suzuka,2025,10.33,89.285,27.9,False,87.83600000000001,3
62,PIA,Suzuka,2025,4.0,89.285,27.9,False,88.13000000000001,3
63,HAM,Suzuka,2025,4.14,89.285,27.9,False,88.12599999999999,3
64,LEC,Suzuka,2025,5.2,89.285,27.9,False,88.126,3
65,RUS,Suzuka,2025,10.75,89.285,27.9,False,88.38799999999999,3
66,TSU,Suzuka,2025,10.67,89.285,27.9,False,88.643,3
67,RIC,Suzuka,2025,11.36,89.285,27.9,False,88.632,3
68,HUL,Suzuka,2025,12.55,89.285,27.9,False,88.974,3
69,BOT,Suzuka,2025,8.2,89.285,27.9,False,88.813,3
70,ALB,Suzuka,2025,12.25,89.285,27.9,False,89.294,3
71,OCO,Suzuka,2025,11.67,89.285,27.9,False,89.081,3
72,STR,Suzuka,2025,15.33,89.285,27.9,False,89.424,3
73,GAS,Suzuka,2025,13.17,89.285,27.9,False,89.609,3
74,MAG,Suzuka,2025,14.63,89.285,27.9,False,89.541,3
75,SAR,Suzuka,2025,19.5,89.285,27.9,False,89.389,3
76,ZHO,Suzuka,2025,17.67,89.285,27.9,False,89.743,3
77,VER,China,2025,8.17,94.837,35.5,False,92.81,3
78,PER,China,2025,10.0,94.837,35.5,False,93.502,3
79,ALO,China,2025,6.31,94.837,35.5,False,93.188,3
80,NOR,China,2025,9.5,94.837,35.5,False,93.56500000000001,3
81,PIA,China,2025,5.0,94.837,35.5,False,93.893,3
82,LEC,China,2025,9.67,94.837,35.5,False,93.929,3
83,SAI,China,2025,10.5,94.837,35.5,False,93.667,3
84,RUS,China,2025,12.5,94.837,35.5,False,93.843,3
85,HUL,China,2025,11.0,94.837,35.5,False,94.124,3
86,BOT,China,2025,6.25,94.837,35.5,False,94.33500000000001,3
87,STR,China,2025,13.75,94.837,35.5,False,93.838,3
88,RIC,China,2025,7.22,94.837,35.5,False,94.304,3
89,OCO,China,2025,14.0,94.837,35.5,False,94.863,3
90,ALB,China,2025,17.0,94.837,35.5,False,94.851,3
91,GAS,China,2025,12.67,94.837,35.5,False,94.32700000000001,3
92,ZHO,China,2025,16.0,94.837,35.5,False,95.045,3
93,MAG,China,2025,13.5,94.837,35.5,False,94.816,3
94,HAM,China,2025,5.5,94.837,35.5,False,95.003,3
95,TSU,China,2025,19.0,94.837,35.5,False,95.306,3
96,SAR,China,2025,20.0,94.837,35.5,False,95.86800000000001,3
97,VER,Miami,2025,4.33,88.051,49.2,False,86.631,3
98,LEC,Miami,2025,3.33,88.051,49.2,False,86.89200000000001,3
99,SAI,Miami,2025,2.67,88.051,49.2,False,86.735,3
100,PER,Miami,2025,3.0,88.051,49.2,False,86.7,3
101,NOR,Miami,2025,5.0,88.051,49.2,False,86.66399999999999,3
102,PIA,Miami,2025,12.5,88.051,49.2,False,87.145,3
103,RUS,Miami,2025,8.33,88.051,49.2,False,87.73700000000001,3
104,HAM,Miami,2025,9.0,88.051,49.2,False,86.917,3
105,HUL,Miami,2025,10.5,88.051,49.2,False,87.446,3
106,TSU,Miami,2025,12.0,88.051,49.2,False,87.84700000000001,3
107,STR,Miami,2025,13.0,88.051,49.2,False,87.77699999999999,3
108,GAS,Miami,2025,8.0,88.051,49.2,False,87.306,3
109,OCO,Miami,2025,13.67,88.051,49.2,False,87.49900000000001,3
110,ALB,Miami,2025,14.33,88.051,49.2,False,87.903,3
111,ALO,Miami,2025,9.33,88.051,49.2,False,87.467,3
112,BOT,Miami,2025,10.33,88.051,49.2,False,87.98299999999999,3
113,SAR,Miami,2025,18.5,88.051,49.2,False,87.707,3
114,RIC,Miami,2025,17.0,88.051,49.2,False,87.937,3
115,MAG,Miami,2025,12.67,88.051,49.2,False,88.169,3
116,ZHO,Miami,2025,16.67,88.051,49.2,False,88.484,3
117,VER,Imola,2025,2.0,75.737,43.8,False,74.416,3
118,PIA,Imola,2025,5.0,75.737,43.8,False,74.35,3
119,NOR,Imola,2025,5.75,75.737,43.8,False,74.327,3
120,LEC,Imola,2025,4.0,75.737,43.8,False,74.19,3
121,SAI,Imola,2025,7.25,75.737,43.8,False,74.82300000000001,3
122,RUS,Imola,2025,10.5,75.737,43.8,False,74.86399999999999,3
123,TSU,Imola,2025,13.0,75.737,43.8,False,74.658,3
124,HAM,Imola,2025,6.25,75.737,43.8,False,74.56400000000001,3
125,RIC,Imola,2025,6.5,75.737,43.8,False,75.06400000000001,3
126,HUL,Imola,2025,10.0,75.737,43.8,False,75.159,3
127,PER,Imola,2025,6.75,75.737,43.8,False,74.96600000000001,3
128,OCO,Imola,2025,12.25,75.737,43.8,False,75.266,3
129,STR,Imola,2025,13.25,75.737,43.8,False,75.022,3
130,ALB,Imola,2025,12.67,75.737,43.8,False,75.53,3
131,GAS,Imola,2025,10.25,75.737,43.8,False,75.565,3
132,BOT,Imola,2025,8.0,75.737,43.8,False,76.10600000000001,3
133,ZHO,Imola,2025,18.5,75.737,43.8,False,76.144,3
134,MAG,Imola,2025,14.33,75.737,43.8,False,76.144,3
135,ALO,Imola,2025,10.38,75.737,43.8,False,76.537,3
136,LEC,Monaco,2025,6.33,71.266,49.0,False,69.83,3
137,PIA,Monaco,2025,6.5,71.266,49.0,False,69.96400000000001,3
138,SAI,Monaco,2025,6.89,71.266,49.0,False,69.938,3
139,NOR,Monaco,2025,7.2,71.266,49.0,False,70.182,3
140,RUS,Monaco,2025,10.6,71.266,49.0,False,69.983,3
141,VER,Monaco,2025,7.78,71.266,49.0,False,69.84700000000001,3
142,HAM,Monaco,2025,5.47,71.266,49.0,False,70.28099999999999,3
143,TSU,Monaco,2025,11.0,71.266,49.0,False,70.33800000000001,3
144,ALB,Monaco,2025,12.0,71.266,49.0,False,70.34800000000001,3
145,GAS,Monaco,2025,9.67,71.266,49.0,False,70.496,3
146,OCO,Monaco,2025,9.33,71.266,49.0,False,70.335,3
147,HUL,Monaco,2025,11.64,71.266,49.0,False,70.69,3
148,RIC,Monaco,2025,7.73,71.266,49.0,False,70.782,3
149,STR,Monaco,2025,15.57,71.266,49.0,False,70.643,3
150,MAG,Monaco,2025,13.63,71.266,49.0,False,70.975,3
151,ALO,Monaco,2025,8.1,71.266,49.0,False,71.089,3
152,SAR,Monaco,2025,15.5,71.266,49.0,False,71.17,3
153,PER,Monaco,2025,11.17,71.266,49.0,False,71.52,3
154,BOT,Monaco,2025,10.0,71.266,49.0,False,72.182,3
155,ZHO,Monaco,2025,19.0,71.266,49.0,False,72.378,3
156,RUS,Canada,2025,7.75,72.705,33.7,True,71.17200000000001,3
157,VER,Canada,2025,5.63,72.705,33.7,True,71.55,3
158,NOR,Canada,2025,8.0,72.705,33.7,True,71.051,3
159,PIA,Canada,2025,6.0,72.705,33.7,True,71.523,3
160,RIC,Canada,2025,7.4,72.705,33.7,True,71.458,3
161,ALO,Canada,2025,6.37,72.705,33.7,True,71.57799999999999,3
162,HAM,Canada,2025,2.47,72.705,33.7,True,71.259,3
163,TSU,Canada,2025,15.67,72.705,33.7,True,71.553,3
164,STR,Canada,2025,15.33,72.705,33.7,True,72.299,3
165,ALB,Canada,2025,11.0,72.705,33.7,True,71.565,3
166,LEC,Canada,2025,11.2,72.705,33.7,True,72.051,3
167,SAI,Canada,2025,11.25,72.705,33.7,True,71.88799999999999,3
168,SAR,Canada,2025,15.5,72.705,33.7,True,72.256,3
169,MAG,Canada,2025,14.38,72.705,33.7,True,72.146,3
170,GAS,Canada,2025,13.8,72.705,33.7,True,72.07,3
171,PER,Canada,2025,12.27,72.705,33.7,True,72.78599999999999,3
172,BOT,Canada,2025,7.3,72.705,33.7,True,72.966,3
173,OCO,Canada,2025,9.6,72.705,33.7,True,72.655,3
174,HUL,Canada,2025,9.73,72.705,33.7,True,73.568,3
175,ZHO,Canada,2025,16.67,72.705,33.7,True,73.522,3
176,NOR,Spain,2025,7.0,72.256,37.5,False,70.573,3
177,VER,Spain,2025,3.4,72.256,37.5,False,70.99300000000001,3
178,HAM,Spain,2025,4.33,72.256,37.5,False,71.131,3
179,RUS,Spain,2025,12.0,72.256,37.5,False,71.303,3
180,LEC,Spain,2025,8.14,72.256,37.5,False,70.881,3
181,SAI,Spain,2025,7.0,72.256,37.5,False,71.436,3
182,GAS,Spain,2025,10.14,72.256,37.5,False,71.247,3
183,PER,Spain,2025,10.0,72.256,37.5,False,71.634,3
184,OCO,Spain,2025,9.86,72.256,37.5,False,71.40899999999999,3
185,PIA,Spain,2025,9.0,72.256,37.5,False,71.701,3
186,ALO,Spain,2025,7.29,72.256,37.5,False,71.358,3
187,BOT,Spain,2025,6.42,72.256,37.5,False,71.777,3
188,HUL,Spain,2025,13.45,72.256,37.5,False,71.59,3
189,STR,Spain,2025,13.0,72.256,37.5,False,71.782,3
190,ZHO,Spain,2025,14.33,72.256,37.5,False,71.848,3
191,MAG,Spain,2025,12.44,72.256,37.5,False,72.25699999999999,3
192,TSU,Spain,2025,15.25,72.256,37.5,False,72.455,3
193,RIC,Spain,2025,9.5,72.256,37.5,False,72.355,3
194,ALB,Spain,2025,14.6,72.256,37.5,False,72.82300000000001,3
195,SAR,Spain,2025,19.5,72.256,37.5,False,72.779,3
196,VER,Austria,2025,2.92,65.288,47.5,False,63.553999999999995,3
197,NOR,Austria,2025,4.75,65.288,47.5,False,64.168,3
198,RUS,Austria,2025,10.5,65.288,47.5,False,64.08,3
199,SAI,Austria,2025,9.0,65.288,47.5,False,63.900999999999996,3
200,HAM,Austria,2025,4.23,65.288,47.5,False,64.433,3
201,LEC,Austria,2025,7.56,65.288,47.5,False,64.17399999999999,3
202,PIA,Austria,2025,10.0,65.288,47.5,False,64.468,3
203,PER,Austria,2025,10.54,65.288,47.5,False,64.79400000000001,3
204,HUL,Austria,2025,8.75,65.288,47.5,False,64.592,3
205,OCO,Austria,2025,11.22,65.288,47.5,False,64.434,3
206,RIC,Austria,2025,9.75,65.288,47.5,False,64.869,3
207,MAG,Austria,2025,12.5,65.288,47.5,False,64.75699999999999,3
208,GAS,Austria,2025,9.67,65.288,47.5,False,64.539,3
209,TSU,Austria,2025,12.8,65.288,47.5,False,64.792,3
210,ALO,Austria,2025,14.08,65.288,47.5,False,64.859,3
211,ALB,Austria,2025,11.5,65.288,47.5,False,65.156,3
212,STR,Austria,2025,11.9,65.288,47.5,False,64.909,3
213,BOT,Austria,2025,6.69,65.288,47.5,False,64.89699999999999,3
214,SAR,Austria,2025,18.5,65.288,47.5,False,65.006,3
215,ZHO,Austria,2025,16.67,65.288,47.5,False,65.12100000000001,3
216,RUS,Silverstone,2025,11.5,88.924,19.4,False,85.229,3
217,HAM,Silverstone,2025,4.05,88.924,19.4,False,85.11999999999999,3
218,NOR,Silverstone,2025,5.57,88.924,19.4,False,85.16,3
219,VER,Silverstone,2025,4.0,88.924,19.4,False,85.513,3
220,PIA,Silverstone,2025,4.0,88.924,19.4,False,85.707,3
221,HUL,Silverstone,2025,9.31,88.924,19.4,False,86.008,3
222,SAI,Silverstone,2025,9.0,88.924,19.4,False,85.779,3
223,STR,Silverstone,2025,13.11,88.924,19.4,False,85.75500000000001,3
224,ALB,Silverstone,2025,10.5,88.924,19.4,False,85.73,3
225,ALO,Silverstone,2025,9.05,88.924,19.4,False,85.79,3
226,LEC,Silverstone,2025,5.75,88.924,19.4,False,86.76700000000001,3
227,SAR,Silverstone,2025,13.0,88.924,19.4,False,86.315,3
228,TSU,Silverstone,2025,14.5,88.924,19.4,False,86.899,3
229,ZHO,Silverstone,2025,13.33,88.924,19.4,False,87.327,3
230,RIC,Silverstone,2025,10.21,88.924,19.4,False,87.579,3
231,BOT,Silverstone,2025,8.31,88.924,19.4,False,92.071,3
232,MAG,Silverstone,2025,14.4,88.924,19.4,False,92.355,3
233,OCO,Silverstone,2025,11.88,88.924,19.4,False,94.167,3
234,PER,Silverstone,2025,12.31,88.924,19.4,False,97.55799999999999,3
235,GAS,Silverstone,2025,11.0,88.924,19.4,False,99.324,3
236,NOR,Hungary,2025,4.83,76.498,29.8,True,74.40700000000001,3
237,PIA,Hungary,2025,3.0,76.498,29.8,True,74.699,3
238,VER,Hungary,2025,5.1,76.498,29.8,True,74.303,3
239,SAI,Hungary,2025,8.1,76.498,29.8,True,75.246,3
240,HAM,Hungary,2025,3.5,76.498,29.8,True,74.894,3
241,LEC,Hungary,2025,6.86,76.498,29.8,True,75.501,3
242,ALO,Hungary,2025,7.29,76.498,29.8,True,75.10300000000001,3
243,STR,Hungary,2025,13.25,76.498,29.8,True,75.605,3
244,RIC,Hungary,2025,10.71,76.498,29.8,True,75.892,3
245,TSU,Hungary,2025,14.75,76.498,29.8,True,75.411,3
246,HUL,Hungary,2025,10.73,76.498,29.8,True,75.60700000000001,3
247,BOT,Hungary,2025,6.08,76.498,29.8,True,75.504,3
248,ALB,Hungary,2025,14.2,76.498,29.8,True,75.699,3
249,SAR,Hungary,2025,17.0,76.498,29.8,True,75.953,3
250,MAG,Hungary,2025,15.67,76.498,29.8,True,75.58800000000001,3
251,PER,Hungary,2025,11.57,76.498,29.8,True,77.54599999999999,3
252,RUS,Hungary,2025,13.33,76.498,29.8,True,77.00800000000001,3
253,ZHO,Hungary,2025,11.67,76.498,29.8,True,77.18700000000001,3
254,OCO,Hungary,2025,12.29,76.498,29.8,True,77.299,3
255,GAS,Hungary,2025,11.71,76.498,29.8,True,77.426,3
256,VER,Spa-Francorchamps,2025,7.2,106.075,22.7,True,112.55900000000001,3
257,LEC,Spa-Francorchamps,2025,7.43,106.075,22.7,True,112.974,3
258,PER,Spa-Francorchamps,2025,6.38,106.075,22.7,True,112.855,3
259,HAM,Spa-Francorchamps,2025,4.0,106.075,22.7,True,112.93499999999999,3
260,NOR,Spa-Francorchamps,2025,10.67,106.075,22.7,True,113.28099999999999,3
261,PIA,Spa-Francorchamps,2025,5.0,106.075,22.7,True,113.027,3
262,RUS,Spa-Francorchamps,2025,8.33,106.075,22.7,True,113.265,3
263,SAI,Spa-Francorchamps,2025,10.1,106.075,22.7,True,113.16199999999999,3
264,ALO,Spa-Francorchamps,2025,9.63,106.075,22.7,True,113.848,3
265,OCO,Spa-Francorchamps,2025,10.25,106.075,22.7,True,113.72,3
266,ALB,Spa-Francorchamps,2025,10.6,106.075,22.7,True,113.493,3
267,GAS,Spa-Francorchamps,2025,10.43,106.075,22.7,True,113.885,3
268,RIC,Spa-Francorchamps,2025,10.29,106.075,22.7,True,113.822,3
269,BOT,Spa-Francorchamps,2025,9.67,106.075,22.7,True,113.984,3
270,STR,Spa-Francorchamps,2025,13.63,106.075,22.7,True,115.056,3
271,HUL,Spa-Francorchamps,2025,12.73,106.075,22.7,True,115.53800000000001,3
272,MAG,Spa-Francorchamps,2025,12.56,106.075,22.7,True,115.71,3
273,TSU,Spa-Francorchamps,2025,16.75,106.075,22.7,True,116.193,3
274,SAR,Spa-Francorchamps,2025,18.0,106.075,22.7,True,116.33,3
275,ZHO,Spa-Francorchamps,2025,18.0,106.075,22.7,True,116.805,3
276,NOR,Zandvoort,2025,7.33,76.69,30.8,False,69.053,3
277,VER,Zandvoort,2025,1.0,76.69,30.8,False,69.279,3
278,PIA,Zandvoort,2025,8.0,76.69,30.8,False,69.41199999999999,3
279,RUS,Zandvoort,2025,6.67,76.69,30.8,False,69.434,3
280,PER,Zandvoort,2025,10.67,76.69,30.8,False,69.846,3
281,LEC,Zandvoort,2025,5.33,76.69,30.8,False,69.862,3
282,ALO,Zandvoort,2025,9.0,76.69,30.8,False,69.79299999999999,3
283,STR,Zandvoort,2025,11.0,76.69,30.8,False,70.031,3
284,GAS,Zandvoort,2025,9.0,76.69,30.8,False,70.295,3
285,SAI,Zandvoort,2025,5.0,76.69,30.8,False,70.374,3
286,HAM,Zandvoort,2025,6.33,76.69,30.8,False,70.388,3
287,TSU,Zandvoort,2025,13.33,76.69,30.8,False,70.315,3
288,HUL,Zandvoort,2025,14.0,76.69,30.8,False,70.625,3
289,MAG,Zandvoort,2025,19.0,76.69,30.8,False,70.805,3
290,RIC,Zandvoort,2025,13.5,76.69,30.8,False,71.073,3
291,OCO,Zandvoort,2025,12.0,76.69,30.8,False,71.185,3
292,BOT,Zandvoort,2025,12.33,76.69,30.8,False,71.47800000000001,3
293,ZHO,Zandvoort,2025,14.5,76.69,30.8,False,72.881,3
294,ALB,Zandvoort,2025,9.5,76.69,30.8,False,69.85300000000001,3
295,SAI,Monza,2025,9.89,81.451,38.6,False,79.53399999999999,3
296,VER,Monza,2025,8.78,81.451,38.6,False,79.507,3
297,LEC,Monza,2025,6.33,81.451,38.6,False,80.061,3
298,RUS,Monza,2025,10.6,81.451,38.6,False,80.041,3
299,PER,Monza,2025,10.15,81.451,38.6,False,79.988,3
300,ALB,Monza,2025,7.67,81.451,38.6,False,80.09,3
301,PIA,Monza,2025,7.0,81.451,38.6,False,79.85499999999999,3
302,HAM,Monza,2025,4.65,81.451,38.6,False,79.86999999999999,3
303,NOR,Monza,2025,7.4,81.451,38.6,False,80.069,3
304,ALO,Monza,2025,9.35,81.451,38.6,False,80.70700000000001,3
305,TSU,Monza,2025,15.33,81.451,38.6,False,80.774,3
306,HUL,Monza,2025,11.9,81.451,38.6,False,80.956,3
307,BOT,Monza,2025,8.45,81.451,38.6,False,81.55,3
308,SAR,Monza,2025,15.0,81.451,38.6,False,81.0,3
309,ZHO,Monza,2025,12.5,81.451,38.6,False,81.52,3
310,GAS,Monza,2025,13.0,81.451,38.6,False,81.595,3
311,OCO,Monza,2025,12.71,81.451,38.6,False,81.94800000000001,3
312,MAG,Monza,2025,13.38,81.451,38.6,False,82.042,3
313,STR,Monza,2025,10.0,81.451,38.6,False,82.29,3
314,SAI,Singapore,2025,7.71,92.076,34.8,False,90.08399999999999,3
315,RUS,Singapore,2025,13.33,92.076,34.8,False,90.196,3
316,LEC,Singapore,2025,4.5,92.076,34.8,False,90.49300000000001,3
317,NOR,Singapore,2025,6.33,92.076,34.8,False,90.61999999999999,3
318,HAM,Singapore,2025,2.93,92.076,34.8,False,90.855,3
319,MAG,Singapore,2025,12.0,92.076,34.8,False,91.015,3
320,ALO,Singapore,2025,7.31,92.076,34.8,False,90.645,3
321,OCO,Singapore,2025,13.8,92.076,34.8,False,90.973,3
322,HUL,Singapore,2025,10.5,92.076,34.8,False,91.028,3
323,VER,Singapore,2025,5.57,92.076,34.8,False,91.513,3
324,GAS,Singapore,2025,11.25,92.076,34.8,False,91.964,3
325,PER,Singapore,2025,12.09,92.076,34.8,False,91.13900000000001,3
326,ALB,Singapore,2025,12.67,92.076,34.8,False,92.33800000000001,3
327,TSU,Singapore,2025,12.5,92.076,34.8,False,91.151,3
328,BOT,Singapore,2025,9.67,92.076,34.8,False,92.399,3
329,PIA,Singapore,2025,17.0,92.076,34.8,False,92.44200000000001,3
330,SAR,Singapore,2025,18.0,92.076,34.8,False,92.902,3
331,ZHO,Singapore,2025,16.5,92.076,34.8,False,92.708,3
332,STR,Singapore,2025,17.0,92.076,34.8,False,92.527,3
333,VER,Suzuka,2025,4.38,89.285,38.9,False,88.19699999999999,3
334,PIA,Suzuka,2025,4.0,89.285,38.9,False,88.55799999999999,3
335,NOR,Suzuka,2025,6.0,89.285,38.9,False,88.693,3
336,LEC,Suzuka,2025,5.2,89.285,38.9,False,89.112,3
337,PER,Suzuka,2025,8.5,89.285,38.9,False,88.99000000000001,3
338,SAI,Suzuka,2025,9.5,89.285,38.9,False,89.08999999999999,3
339,HAM,Suzuka,2025,4.14,89.285,38.9,False,89.358,3
340,RUS,Suzuka,2025,10.75,89.285,38.9,False,89.67899999999999,3
341,TSU,Suzuka,2025,10.67,89.285,38.9,False,89.42399999999999,3
342,ALO,Suzuka,2025,10.33,89.285,38.9,False,89.86500000000001,3
343,GAS,Suzuka,2025,13.17,89.285,38.9,False,90.059,3
344,ALB,Suzuka,2025,12.25,89.285,38.9,False,89.777,3
345,OCO,Suzuka,2025,11.67,89.285,38.9,False,90.116,3
346,MAG,Suzuka,2025,14.63,89.285,38.9,False,89.95500000000001,3
347,BOT,Suzuka,2025,8.2,89.285,38.9,False,90.679,3
348,STR,Suzuka,2025,15.33,89.285,38.9,False,90.601,3
349,HUL,Suzuka,2025,12.55,89.285,38.9,False,90.43900000000001,3
350,ZHO,Suzuka,2025,17.67,89.285,38.9,False,90.788,3
351,VER,Qatar,2025,4.0,85.297,34.8,False,83.46799999999999,3
352,RUS,Qatar,2025,8.5,85.297,34.8,False,83.479,3
353,HAM,Qatar,2025,2.0,85.297,34.8,False,83.50500000000001,3
354,ALO,Qatar,2025,3.5,85.297,34.8,False,83.719,3
355,LEC,Qatar,2025,9.0,85.297,34.8,False,84.07400000000001,3
356,PIA,Qatar,2025,6.0,85.297,34.8,False,84.24,3
357,GAS,Qatar,2025,4.5,85.297,34.8,False,83.633,3
358,OCO,Qatar,2025,8.5,85.297,34.8,False,84.063,3
359,BOT,Qatar,2025,7.5,85.297,34.8,False,84.29799999999999,3
360,NOR,Qatar,2025,7.0,85.297,34.8,False,84.055,3
361,TSU,Qatar,2025,9.5,85.297,34.8,False,84.921,3
362,SAI,Qatar,2025,8.5,85.297,34.8,False,84.398,3
363,PER,Qatar,2025,15.5,85.297,34.8,False,84.792,3
364,ALB,Qatar,2025,13.0,85.297,34.8,False,85.107,3
365,HUL,Qatar,2025,14.0,85.297,34.8,False,85.203,3
366,SAR,Qatar,2025,15.0,85.297,34.8,False,85.27000000000001,3
367,STR,Qatar,2025,14.0,85.297,34.8,False,85.385,3
368,MAG,Qatar,2025,18.0,85.297,34.8,False,86.09599999999999,3
369,ZHO,Qatar,2025,19.0,85.297,34.8,False,86.482,3
370,LEC,Austin,2025,6.0,95.585,42.6,False,93.773,3
371,NOR,Austin,2025,5.75,95.585,42.6,False,94.003,3
372,HAM,Austin,2025,2.45,95.585,42.6,False,94.30199999999999,3
373,SAI,Austin,2025,8.13,95.585,42.6,False,94.49499999999999,3
374,RUS,Austin,2025,11.75,95.585,42.6,False,94.689,3
375,VER,Austin,2025,7.25,95.585,42.6,False,94.208,3
376,GAS,Austin,2025,11.0,95.585,42.6,False,94.109,3
377,OCO,Austin,2025,12.17,95.585,42.6,False,94.334,3
378,PER,Austin,2025,9.91,95.585,42.6,False,94.593,3
379,PIA,Austin,2025,10.0,95.585,42.6,False,94.717,3
380,TSU,Austin,2025,13.33,95.585,42.6,False,95.257,3
381,ZHO,Austin,2025,15.0,95.585,42.6,False,95.378,3
382,BOT,Austin,2025,7.2,95.585,42.6,False,95.14800000000001,3
383,MAG,Austin,2025,13.71,95.585,42.6,False,95.19,3
384,RIC,Austin,2025,8.27,95.585,42.6,False,95.06400000000001,3
385,HUL,Austin,2025,10.0,95.585,42.6,False,95.675,3
386,ALO,Austin,2025,11.3,95.585,42.6,False,95.628,3
387,ALB,Austin,2025,9.67,95.585,42.6,False,95.365,3
388,STR,Austin,2025,13.67,95.585,42.6,False,95.689,3
389,SAR,Austin,2025,16.0,95.585,42.6,False,95.967,3
390,LEC,Mexico,2025,5.2,78.306,47.3,False,76.846,3
391,SAI,Mexico,2025,7.13,78.306,47.3,False,76.82300000000001,3
392,VER,Mexico,2025,3.25,78.306,47.3,False,76.57300000000001,3
393,RIC,Mexico,2025,7.63,78.306,47.3,False,76.512,3
394,PER,Mexico,2025,8.38,78.306,47.3,False,76.663,3
395,HAM,Mexico,2025,2.88,78.306,47.3,False,76.724,3
